"","ID","Progress","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","comments"
"62",64,"100","UNI11","Full-time","No","Year 1","3","Bsc Psychology","Yes","Female","Non-UKRN",1,10,10,20,20,3,2,1,0,1,0,0,0,""
"63",65,"100","UNI11","Full-time","No","Year 1","3","Psychology with child development ","Yes","Female","Non-UKRN",1,2,2,14,14,3,2,1,1,0,0,0,1,""
"64",66,"100","UNI11","Full-time","No","Final Year","3","BSc Psychology","Yes","Female ","Non-UKRN",1,15,15,22,22,3,5,1,1,9999,0,1,0,""
"65",67,"100","UNI11","Full-time","No","Final Year","3","Psychology ","No","Female","Non-UKRN",1,11,11,20,20,4,4,0,NA,9999,0,0,0,""
"66",68,"100","UNI11","Full-time","No","Year 1","3","Psychology","Yes","Female","Non-UKRN",1,6,6,21,21,4,1,1,1,1,0,0,1,""
"67",69,"100","UNI11","Full-time","No","Year 2","3","psychology","Yes","female","Non-UKRN",1,9,9,17,17,1,0,0,NA,9999,0,0,1,""
"68",70,"100","UNI11","Full-time","No","Year 2","3","BSc Psychology ","Yes","Female","Non-UKRN",1,15,15,29,29,6,1,1,1,1,1,1,1,"No"
"69",71,"100","UNI11","Full-time","No","Year 1","3","psychology and child development ","No","Male","Non-UKRN",1,16,16,20,20,5,3,0,NA,9999,0,0,1,""
"70",72,"100","UNI11","Full-time","No","Year 1","3","psychology ","Yes","female","Non-UKRN",1,4,4,17,17,6,2,1,1,1,0,0,1,""
"71",73,"100","UNI11","Full-time","No","Year 2","3","BSc Psychology","Yes","Female","Non-UKRN",1,11,11,22,22,1,2,0,NA,9999,0,0,0,""
"72",74,"100","UNI11","Full-time","No","Year 1","3","Bsc Psychology","Yes","female","Non-UKRN",1,12,12,14,14,7,4,1,1,1,1,1,1,""
"73",75,"100","UNI11","Full-time","No","Year 1","3","Psychology BSc","Yes","Female","Non-UKRN",1,16,16,25,25,0,2,1,0,0,0,0,1,""
"74",76,"100","UNI11","Full-time","No","Year 1","3","Psychology","No","female","Non-UKRN",1,11,11,18,18,6,0,1,1,0,0,0,1,""
"75",77,"81","UNI11","Full-time","No","Year 2","3","BSc Psychology ","Yes","Female","Non-UKRN",1,6,6,17,17,3,1,1,NA,9999,NA,NA,NA,""
"76",78,"70","UNI11","Full-time","No","Final Year","3","Psychology ","No","Female ","Non-UKRN",1,15,15,NA,NA,1,7,NA,NA,9999,NA,NA,NA,""
"77",79,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,-1,-1,11,11,4,4,1,1,1,0,0,0,""
"78",80,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology ","Yes","Female","UKRN",1,3,3,18,18,5,0,1,0,0,0,0,1,""
"79",81,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female ","UKRN",1,14,14,20,20,6,2,0,NA,9999,1,1,1,""
"80",82,"100","UKRN01","Full-time","No","Year 2","3","Psychology ","Yes","female","UKRN",1,3,3,19,19,8,4,0,NA,9999,1,0,1,""
"81",83,"100","UKRN01","Full-time","No","Year 1","3","Psychology","No","Female","UKRN",1,8,8,13,13,4,4,0,NA,9999,0,0,1,""
"82",84,"100","UKRN01","Full-time","Yes","Year 2","3","Psychology","Yes","Female","UKRN",1,5,5,20,20,5,3,1,1,0,0,1,1,""
"83",85,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology ","Yes","Female","UKRN",1,7,7,25,25,4,3,1,1,1,0,0,1,""
"84",86,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,14,14,22,22,4,0,0,NA,9999,1,1,1,""
"85",87,"100","UKRN01","Full-time","Yes","Year 1","4","BSc psychology","Yes","Female","UKRN",1,1,1,13,13,6,1,1,0,0,0,0,1,""
"86",88,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female ","UKRN",1,10,10,20,20,0,0,0,NA,9999,0,0,1,""
"87",89,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,8,8,13,13,8,3,0,NA,9999,0,0,1,""
"88",90,"100","UKRN01","Full-time","No","Year 1","3","Psychology Bsc","Yes","Female","UKRN",1,15,15,15,15,3,2,1,1,0,0,1,1,"no"
"89",91,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","Female","UKRN",1,5,5,16,16,5,1,0,NA,9999,0,0,1,""
"90",92,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,0,0,21,21,8,4,0,NA,9999,1,0,1,""
"91",93,"100","UKRN01","Full-time","Yes","Year 1","3","Psychology Bsc","Yes","Female","UKRN",1,2,2,14,14,3,1,1,0,1,0,0,1,""
"92",94,"100","UKRN01","Full-time","Yes","Placement Year","3","BSc Psychology","Yes","Female","UKRN",1,7,7,17,17,7,3,1,1,1,0,0,1,""
"93",95,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology with placement year","Yes","Female","UKRN",1,8,8,15,15,8,2,1,1,0,0,0,1,""
"94",96,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,0,0,17,17,7,1,1,1,0,0,0,1,""
"95",97,"100","UKRN01","Full-time","Yes","Placement Year","4","Psychology BsC","Yes","Female ","UKRN",1,12,12,18,18,5,0,1,1,1,0,0,1,""
"96",98,"100","UKRN01","Full-time","Yes","Placement Year","4","Psychology ","Yes","Female","UKRN",1,7,7,18,18,4,0,1,1,1,0,0,1,""
"97",99,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,6,6,20,20,5,3,1,0,1,0,0,1,""
"98",100,"100","UKRN01","Full-time","No","Year 2","3","Psychology","No","Male","UKRN",1,15,15,22,22,7,3,1,1,0,1,1,1,""
"99",101,"100","UKRN01","Full-time","No","Year 2","3","Psychology BSc","Yes","Male","UKRN",1,12,12,17,17,4,0,1,1,1,0,0,1,""
"100",102,"100","UKRN01","Full-time","Yes","Year 1","3","Psychology Bsc","Yes","Male","UKRN",1,9,9,20,20,5,3,0,NA,9999,0,0,1,""
"101",103,"100","UKRN01","Full-time","No","Year 1","3","Psychology BSc","Yes","Female","UKRN",1,8,8,12,12,6,5,0,NA,9999,0,0,1,""
"102",104,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,8,8,18,18,5,3,1,1,0,0,0,1,""
