"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","crisis_aware_Completed","crisis_learnt_Completed","crisis_explain_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed"
18,"UKRN02","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
19,"UKRN02","Full-time","Yes","Year 1","3","BSc (Hons) Psychology","Yes","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
20,"UKRN02","Full-time","Yes","Year 1","3","Psychology ","Yes","Male","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
21,"UNI01","Full-time","No","Final Year","3","Psychology","Yes","Female","Non-UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
22,"UKRN02","Full-time","No","Final Year","3","Psychology","Yes","Female","UKRN",1,0,NA,NA,1,1,1,1,0,0,1,1,1
23,"UKRN02","Full-time","Other (Please specify)","Year 1","3","Psychology","Yes","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
24,"UNI02","Full-time","No","Year 2","3","BSc Psychology Hons","No","N/A","Non-UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
25,"UNI02","Full-time","No","Year 2","3","Single honours Psychology ","Yes","Female","Non-UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
27,"UNI02","Full-time","No","Final Year","3","Psychology ","No","Female ","Non-UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
28,"UNI02","Full-time","No","Year 2","3","Psychology","Yes","Female ","Non-UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
29,"UNI02","Full-time","No","Final Year","3","Psychology ","Yes","Female ","Non-UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
30,"UNI02","Full-time","No","Final Year","3","Psychology ","Yes","Female ","Non-UKRN",1,1,0,0,1,0,1,1,1,1,1,1,1
31,"UNI02","Full-time","No","Year 1","3","Psychology with counselling ","Yes","Female","Non-UKRN",1,1,0,0,0,1,1,1,1,1,1,1,1
32,"UNI02","Full-time","No","Final Year","3","Bsc(hons) psychology ","Yes","Female ","Non-UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
33,"UNI01","Full-time","No","Year 2","3","BSc (Hons) Psychology with Criminology","Yes","Female","Non-UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
34,"UNI02","Full-time","No","Year 2","3","Psychology with clinical skills","No","Female","Non-UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
35,"UNI01","Full-time","No","Final Year","3","Psychology with Criminology","No","Female","Non-UKRN",1,1,1,0,1,1,1,1,1,1,1,1,1
36,"UNI02","Full-time","Yes","Year 2","3","Psychology","No","Female","Non-UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
37,"UNI02","Full-time","No","Year 2","3","Bsc (Hons) Psychology","No","Female","Non-UKRN",1,1,1,0,0,0,0,1,1,1,1,1,1
38,"UNI02","Full-time","Yes","Year 2","4","Forensic psychology ","No","Female ","Non-UKRN",1,1,1,0,1,1,1,1,1,1,1,1,1
39,"UNI01","Full-time","No","Year 1","3","Psychology BSc (Hons)","Yes","Female","Non-UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
40,"UNI01","Full-time","No","Year 1","3","Bsc Psychology (Hons)","Yes","Female","Non-UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
41,"UNI02","Full-time","No","Year 2","3","Psychology with clinical skills","No","Female ","Non-UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
