ID,crisis_explain
1,0
2,1
3,0
4,0
5,1
6,1
7,NA
8,0
9,1
10,0
11,0
12,NA
13,NA
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,NA
22,NA
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,NA
40,1
41,1
42,NA
43,0
44,1
45,NA
46,1
47,NA
48,1
49,1
50,NA
51,1
52,NA
53,NA
54,0
55,1
56,1
57,0
58,1
59,NA
60,0
61,1
62,NA
63,NA
64,1
65,0
66,NA
67,NA
68,1
69,NA
70,1
71,NA
72,1
73,NA
74,1
75,0
76,0
77,NA
78,NA
79,1
80,0
81,NA
82,NA
83,NA
84,0
85,1
86,NA
87,0
88,NA
89,NA
90,0
91,NA
92,NA
93,1
94,1
95,0
96,0
97,1
98,1
99,1
100,0
101,1
102,NA
103,NA
104,0
105,NA
106,NA
107,1
108,1
109,NA
110,1
111,NA
112,1
113,NA
114,NA
115,1
116,NA
117,NA
118,1
119,NA
120,NA
121,1
122,1
123,0
124,1
125,1
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,0
133,1
134,NA
135,NA
136,1
137,NA
138,1
139,NA
140,0
141,NA
142,NA
143,NA
144,0
145,NA
146,0
147,NA
148,0
149,1
150,NA
151,NA
152,1
153,NA
154,1
155,1
156,0
157,0
158,0
159,NA
160,1
161,1
162,NA
163,1
164,1
165,1
166,NA
167,NA
168,1
169,NA
170,NA
171,1
172,1
173,NA
174,1
175,1
176,1
177,1
178,0
179,1
180,NA
181,0
182,1
183,0
184,1
185,1
186,0
187,1
188,0
189,NA
190,NA
191,NA
192,1
193,1
194,NA
195,0
196,1
197,NA
198,NA
199,1
200,NA
201,1
202,NA
203,0
204,NA
205,0
206,NA
207,NA
208,1
209,1
210,NA
211,1
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,1
219,0
220,0
221,1
222,1
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,1
231,NA
232,NA
233,1
234,0
235,NA
236,0
237,NA
238,1
239,1
240,NA
241,NA
242,0
243,1
244,1
245,NA
246,NA
247,0
248,NA
249,1
250,0
251,1
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,1
259,1
260,1
261,0
262,0
263,NA
264,NA
265,NA
266,0
267,1
268,1
269,NA
270,NA
271,NA
272,NA
273,NA
274,1
275,NA
276,NA
277,NA
278,1
279,NA
280,NA
281,NA
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,NA
291,1
292,NA
293,0
294,1
295,0
296,1
297,NA
298,NA
299,1
300,1
301,1
302,1
303,0
304,NA
305,1
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,0
316,NA
317,1
318,1
319,1
320,1
321,NA
322,NA
323,0
324,0
325,NA
326,NA
327,1
328,1
329,NA
330,NA
331,1
332,0
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,0
340,NA
341,1
342,NA
343,NA
344,1
345,1
346,1
347,1
348,NA
349,0
350,1
351,NA
352,1
353,NA
354,NA
355,1
356,NA
357,NA
358,1
359,1
360,1
361,NA
362,NA
363,0
364,0
365,1
366,NA
367,NA
368,NA
369,1
370,1
371,1
372,0
373,0
374,NA
375,NA
376,NA
377,1
